보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21
한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)]실손의료비보장특약 상해 비급여,피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 받거나 산정특례대상질환이 아닌 질환으로 인한 비급여 치료조제를 받은 경우에 보상(비급여 자기공명영상진단 제외),용어해설참조,640  원,298  원,2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)]실손의료비보장특약 상해 비급여,피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 받거나 산정특례대상질환이 아닌 질환으로 인한 비급여 치료조제를 받은 경우에 보상(비급여 자기공명영상진단 제외),용어해설참조,640  원,298  원,2.25 %,101.5 %,101.6 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 0세 ~ 49세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신, 보장내용 변경주기 : 5년 4. 재가입 종료 나이 : 100세 5. 상해급여형, 질병급여형, [특별약관1(중증 비급여)상해비급여형], [특별약관1(중증 비급여)질병비급여형], [특별약관1(중증 비급여)]3대비급여형]  [특별약관2(비중증 비급여)상해비급여형], [특별약관2(비중증 비급여)질병비급여형], [특별약관2(비중증 비급여)]3대비급여형] 이 있습니다. 6. 보험가격지수 기준 : 40세, 비위험직, 1년만기, 1년납, 월납, 최초계약, 비중증 비급여 요율상대도(보험료 할인ㆍ할증) 미적용)  ㆍ상해급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ질병급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 3대비급여  - 근골격계 이학요법치료ㆍ체외충격파치료 연간 350만원(50회 한도)  - 주사료 연간 250만원(50회 한도)  - 자기공명영상진단(MRI/MRA) 연간 300만원  ㆍ비중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 자기공명영상진단(MRI/MRA) 연간 200만원 7. 보험료 기준 : 40세, 월납, 최초계약, 비위험직, 비중증 비급여 요율상대도(보험료 할인·할증 미적용)  [기본형(주계약)] 상해급여/질병급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원 한도)  [특별약관1(중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원,연간100회 한도)  [특별약관1(중증 비급여)]3대비급여형 근골격계 이학요법치료·체외충격파치료 연감 350만원(50회) 한도 / 주사료 연간 250만원(50회) 한도 / 자기공명영상진단 연간 300만원 한도  [특별약관2(비중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원은 일당 20만원, 연간 100일 한도, (상급)종합병원 外병·의원 입원은 회당 300만원 한도)  [특별약관2(비중증 비급여)]3대비급여형 비급여 자기공명영상진단 연간 200만원 한도 8. 특약 기준 : 지정특약의 담보가 주계약보험료에 포함 ※ 이 상품은 1년만기 순수보장형상품으로 중도에 해지하더라도 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)]실손의료비보장특약 질병 비급여,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 받거나 산정특례대상질환이 아닌 질환으로 인한 비급여 치료조제를 받은 경우에 보상(비급여 자기공명영상진단 제외),용어해설참조,2057  원,"3,393  원",2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)]실손의료비보장특약 질병 비급여,피보험자가 질병으로 인하여 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 받거나 산정특례대상질환이 아닌 질환으로 인한 비급여 치료조제를 받은 경우에 보상(비급여 자기공명영상진단 제외),용어해설참조,2057  원,"3,393  원",2.25 %,101.5 %,101.6 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 0세 ~ 49세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신, 보장내용 변경주기 : 5년 4. 재가입 종료 나이 : 100세 5. 상해급여형, 질병급여형, [특별약관1(중증 비급여)상해비급여형], [특별약관1(중증 비급여)질병비급여형], [특별약관1(중증 비급여)]3대비급여형]  [특별약관2(비중증 비급여)상해비급여형], [특별약관2(비중증 비급여)질병비급여형], [특별약관2(비중증 비급여)]3대비급여형] 이 있습니다. 6. 보험가격지수 기준 : 40세, 비위험직, 1년만기, 1년납, 월납, 최초계약, 비중증 비급여 요율상대도(보험료 할인ㆍ할증) 미적용)  ㆍ상해급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ질병급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 3대비급여  - 근골격계 이학요법치료ㆍ체외충격파치료 연간 350만원(50회 한도)  - 주사료 연간 250만원(50회 한도)  - 자기공명영상진단(MRI/MRA) 연간 300만원  ㆍ비중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 자기공명영상진단(MRI/MRA) 연간 200만원 7. 보험료 기준 : 40세, 월납, 최초계약, 비위험직, 비중증 비급여 요율상대도(보험료 할인·할증 미적용)  [기본형(주계약)] 상해급여/질병급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원 한도)  [특별약관1(중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원,연간100회 한도)  [특별약관1(중증 비급여)]3대비급여형 근골격계 이학요법치료·체외충격파치료 연감 350만원(50회) 한도 / 주사료 연간 250만원(50회) 한도 / 자기공명영상진단 연간 300만원 한도  [특별약관2(비중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원은 일당 20만원, 연간 100일 한도, (상급)종합병원 外병·의원 입원은 회당 300만원 한도)  [특별약관2(비중증 비급여)]3대비급여형 비급여 자기공명영상진단 연간 200만원 한도 8. 특약 기준 : 지정특약의 담보가 주계약보험료에 포함 ※ 이 상품은 1년만기 순수보장형상품으로 중도에 해지하더라도 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)] 실손의료비보장특약 3대 비급여 자기공명영상진단),피보험자가 상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 위해 자기공명영상진단을 받은 경우에 보상,용어해설참조,901  원,710  원,2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 기본형 급여 실손의료비보장보험(갱신형) 무배당,특약,[특별약관2(비중증 비급여)] 실손의료비보장특약 3대 비급여 자기공명영상진단),피보험자가 상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례대상질환이 아닌 질환으로 인한 비급여 치료를 위해 자기공명영상진단을 받은 경우에 보상,용어해설참조,901  원,710  원,2.25 %,101.5 %,101.6 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 0세 ~ 49세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신, 보장내용 변경주기 : 5년 4. 재가입 종료 나이 : 100세 5. 상해급여형, 질병급여형, [특별약관1(중증 비급여)상해비급여형], [특별약관1(중증 비급여)질병비급여형], [특별약관1(중증 비급여)]3대비급여형]  [특별약관2(비중증 비급여)상해비급여형], [특별약관2(비중증 비급여)질병비급여형], [특별약관2(비중증 비급여)]3대비급여형] 이 있습니다. 6. 보험가격지수 기준 : 40세, 비위험직, 1년만기, 1년납, 월납, 최초계약, 비중증 비급여 요율상대도(보험료 할인ㆍ할증) 미적용)  ㆍ상해급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ질병급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원 한도)  ㆍ중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 5,000만원 한도(단, 통원 회당 20만원(연간 100회) 한도)  ㆍ중증 비급여특약 3대비급여  - 근골격계 이학요법치료ㆍ체외충격파치료 연간 350만원(50회 한도)  - 주사료 연간 250만원(50회 한도)  - 자기공명영상진단(MRI/MRA) 연간 300만원  ㆍ비중증 비급여특약 상해비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 질병비급여 입ㆍ통원 합산 연간 1,000만원 한도(단, 통원 일당 20만원(연간 100일) 한도, (상급)종합병원 外 병·의원 입원은 회당 300만원 한도)  ㆍ비중증 비급여특약 자기공명영상진단(MRI/MRA) 연간 200만원 7. 보험료 기준 : 40세, 월납, 최초계약, 비위험직, 비중증 비급여 요율상대도(보험료 할인·할증 미적용)  [기본형(주계약)] 상해급여/질병급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원 한도)  [특별약관1(중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원 회당 20만원,연간100회 한도)  [특별약관1(중증 비급여)]3대비급여형 근골격계 이학요법치료·체외충격파치료 연감 350만원(50회) 한도 / 주사료 연간 250만원(50회) 한도 / 자기공명영상진단 연간 300만원 한도  [특별약관2(비중증 비급여)]상해비급여/질병비급여형 입·통원 합산 연간 5천만원(단, 통원은 일당 20만원, 연간 100일 한도, (상급)종합병원 外병·의원 입원은 회당 300만원 한도)  [특별약관2(비중증 비급여)]3대비급여형 비급여 자기공명영상진단 연간 200만원 한도 8. 특약 기준 : 지정특약의 담보가 주계약보험료에 포함 ※ 이 상품은 1년만기 순수보장형상품으로 중도에 해지하더라도 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,주계약,상해,"피보험자가 상해로 인하여 의료기관(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,1542  원,"3,045  원",2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,주계약,상해,"피보험자가 상해로 인하여 의료기관(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,1542  원,"3,045  원",2.25 %,100.0 %,100.0 %,-,-,-,-,노후실손,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 50세 ~ 90세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신(최대 2회 갱신 가능), 보장내용 변경주기: 3년 4. 재가입 종료 나이 : 110세 5. 상해형 및 질병형이 있습니다. 6. 보험가격지수 기준 : 비위험직 60세, 상해1급, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 7. 보험료 기준 : 비위험직 60세, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 8. 특약 기준 : 지정특약의 담보가 주계약 보험료에 포함 ※ 이 상품은 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,주계약,질병,"피보험자가 질병으로 인하여 의료기관(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,18870  원,"20,791  원",2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,주계약,질병,"피보험자가 질병으로 인하여 의료기관(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,18870  원,"20,791  원",2.25 %,100.0 %,100.0 %,-,-,-,-,노후실손,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 50세 ~ 90세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신(최대 2회 갱신 가능), 보장내용 변경주기: 3년 4. 재가입 종료 나이 : 110세 5. 상해형 및 질병형이 있습니다. 6. 보험가격지수 기준 : 비위험직 60세, 상해1급, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 7. 보험료 기준 : 비위험직 60세, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 8. 특약 기준 : 지정특약의 담보가 주계약 보험료에 포함 ※ 이 상품은 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,특약,상급병실료차액보장,피보험자가 상해 또는 질병으로 인하여 상급병실에 입원하여 치료를 받은 경우,용어해설참조,874  원,"1,032  원",2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,특약,상급병실료차액보장,피보험자가 상해 또는 질병으로 인하여 상급병실에 입원하여 치료를 받은 경우,용어해설참조,874  원,"1,032  원",2.25 %,100.0 %,100.0 %,-,-,-,-,노후실손,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 50세 ~ 90세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신(최대 2회 갱신 가능), 보장내용 변경주기: 3년 4. 재가입 종료 나이 : 110세 5. 상해형 및 질병형이 있습니다. 6. 보험가격지수 기준 : 비위험직 60세, 상해1급, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 7. 보험료 기준 : 비위험직 60세, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 8. 특약 기준 : 지정특약의 담보가 주계약 보험료에 포함 ※ 이 상품은 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않습니다.",1588-6363
한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,특약,요양병원의료비,"피보험자가 상해 또는 질병으로 인하여 요양병원에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,1097  원,"1,839  원",2.25 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,한화생명,한화생명 노후실손의료비보장보험(갱신형) 무배당,특약,요양병원의료비,"피보험자가 상해 또는 질병으로 인하여 요양병원에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",용어해설참조,1097  원,"1,839  원",2.25 %,100.0 %,100.0 %,-,-,-,-,노후실손,갱신형,비유니버셜,대면채널,2026-05-06,"1. 가입나이(최초계약) : 50세 ~ 90세 2. 보험기간 및 납입기간 : 1년만기, 전기납 3. 1년갱신(최대 2회 갱신 가능), 보장내용 변경주기: 3년 4. 재가입 종료 나이 : 110세 5. 상해형 및 질병형이 있습니다. 6. 보험가격지수 기준 : 비위험직 60세, 상해1급, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 7. 보험료 기준 : 비위험직 60세, 월납, 상해실손의료비 및 질병실손의료비 각각 가입금액 1억원, 요양병원 의료비 가입금액 5천만원, 상급병실료 차액보장 가입금액 2천만원, 1년만기, 1년납 8. 특약 기준 : 지정특약의 담보가 주계약 보험료에 포함 ※ 이 상품은 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않습니다.",1588-6363
삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",주계약,질병급여형,보험기간 중 피보험자가 질병으로 의료기관에 입원 또는 통원하여 치료를 받은 경우 급여의료비,용어해설 참조  원,6060  원,"7,300  원",2.00 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",주계약,질병급여형,보험기간 중 피보험자가 질병으로 의료기관에 입원 또는 통원하여 치료를 받은 경우 급여의료비,용어해설 참조  원,6060  원,"7,300  원",2.00 %,101.7 %,104.5 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"□ 필수기재사항 1. 가입나이 : 최저 0세(태아 포함) ~ 최고 60세 2. 보험기간 : 1년  보장내용 변경주기 : 5년 3. 보험료 및 보험가격지수 예시기준 : 표준체, 비위험, 월납, 최초계약, 40세, 비급여 요율상대도(보험료 할인,할증) 미적용, 질병급여/상해급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원 한도), 중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원(연간 100회) 한도), 3대비급여(근골격계이학요법치료·체외충격파치료 연간 350만원(50회한도), 비급여 주사료 연간 250만원(50회한도), 비급여 자기공명영상진단 연간 300만원), 비중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 1,000만원 한도 (단, 통원 1일당 20만원 한도), 비급여 자기공명영상진단 연간 200만원 □ 선택기재사항 1. 해약환급금: 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않음",1588-3114
삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",주계약,상해급여형,보험기간 중 피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 치료를 받은 경우 급여의료비,용어해설 참조  원,1030  원,580  원,2.00 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",주계약,상해급여형,보험기간 중 피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 치료를 받은 경우 급여의료비,용어해설 참조  원,1030  원,580  원,2.00 %,101.7 %,104.5 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"□ 필수기재사항 1. 가입나이 : 최저 0세(태아 포함) ~ 최고 60세 2. 보험기간 : 1년  보장내용 변경주기 : 5년 3. 보험료 및 보험가격지수 예시기준 : 표준체, 비위험, 월납, 최초계약, 40세, 비급여 요율상대도(보험료 할인,할증) 미적용, 질병급여/상해급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원 한도), 중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원(연간 100회) 한도), 3대비급여(근골격계이학요법치료·체외충격파치료 연간 350만원(50회한도), 비급여 주사료 연간 250만원(50회한도), 비급여 자기공명영상진단 연간 300만원), 비중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 1,000만원 한도 (단, 통원 1일당 20만원 한도), 비급여 자기공명영상진단 연간 200만원 □ 선택기재사항 1. 해약환급금: 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않음",1588-3114
삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [질병비급여형],보험기간 중 피보험자가 질병으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받은 경우 (3대비급여 제외),용어해설 참조  원,440  원,760  원,2.00 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [질병비급여형],보험기간 중 피보험자가 질병으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받은 경우 (3대비급여 제외),용어해설 참조  원,440  원,760  원,2.00 %,101.7 %,104.5 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"□ 필수기재사항 1. 가입나이 : 최저 0세(태아 포함) ~ 최고 60세 2. 보험기간 : 1년  보장내용 변경주기 : 5년 3. 보험료 및 보험가격지수 예시기준 : 표준체, 비위험, 월납, 최초계약, 40세, 비급여 요율상대도(보험료 할인,할증) 미적용, 질병급여/상해급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원 한도), 중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원(연간 100회) 한도), 3대비급여(근골격계이학요법치료·체외충격파치료 연간 350만원(50회한도), 비급여 주사료 연간 250만원(50회한도), 비급여 자기공명영상진단 연간 300만원), 비중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 1,000만원 한도 (단, 통원 1일당 20만원 한도), 비급여 자기공명영상진단 연간 200만원 □ 선택기재사항 1. 해약환급금: 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않음",1588-3114
삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [상해비급여형],보험기간 중 피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받은 경우 (3대비급여 제외),용어해설 참조  원,10  원,10  원,2.00 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [상해비급여형],보험기간 중 피보험자가 상해로 인하여 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 비급여 치료를 받은 경우 (3대비급여 제외),용어해설 참조  원,10  원,10  원,2.00 %,101.7 %,104.5 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"□ 필수기재사항 1. 가입나이 : 최저 0세(태아 포함) ~ 최고 60세 2. 보험기간 : 1년  보장내용 변경주기 : 5년 3. 보험료 및 보험가격지수 예시기준 : 표준체, 비위험, 월납, 최초계약, 40세, 비급여 요율상대도(보험료 할인,할증) 미적용, 질병급여/상해급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원 한도), 중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원(연간 100회) 한도), 3대비급여(근골격계이학요법치료·체외충격파치료 연간 350만원(50회한도), 비급여 주사료 연간 250만원(50회한도), 비급여 자기공명영상진단 연간 300만원), 비중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 1,000만원 한도 (단, 통원 1일당 20만원 한도), 비급여 자기공명영상진단 연간 200만원 □ 선택기재사항 1. 해약환급금: 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않음",1588-3114
삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [3대비급여형],보험기간 중 피보험자가 상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우,용어해설 참조  원,30  원,110  원,2.00 %,,,,,,,실손의료보험_상품비교_20260608162243713.xls,삼성생명,"삼성 급여 실손의료비보장보험(2605)(갱신형,무배당)",특약,중증 비급여 실손의료비보장특약 [3대비급여형],보험기간 중 피보험자가 상해 또는 질병의 치료목적으로 의료기관에 입원 또는 통원하여 산정특례 대상 질환으로 인한 3대비급여 치료를 받은 경우,용어해설 참조  원,30  원,110  원,2.00 %,101.7 %,104.5 %,-,-,-,-,,갱신형,비유니버셜,대면채널,2026-05-06,"□ 필수기재사항 1. 가입나이 : 최저 0세(태아 포함) ~ 최고 60세 2. 보험기간 : 1년  보장내용 변경주기 : 5년 3. 보험료 및 보험가격지수 예시기준 : 표준체, 비위험, 월납, 최초계약, 40세, 비급여 요율상대도(보험료 할인,할증) 미적용, 질병급여/상해급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원 한도), 중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 5,000만원 한도 (단, 통원 1회당 20만원(연간 100회) 한도), 3대비급여(근골격계이학요법치료·체외충격파치료 연간 350만원(50회한도), 비급여 주사료 연간 250만원(50회한도), 비급여 자기공명영상진단 연간 300만원), 비중증 비급여 실손의료비보장특약 질병비급여/상해비급여 각각 입·통원 합산 연간 1,000만원 한도 (단, 통원 1일당 20만원 한도), 비급여 자기공명영상진단 연간 200만원 □ 선택기재사항 1. 해약환급금: 1년만기 순수보장성 상품으로 해약환급금이 발생하지 않음",1588-3114
